"000:00:00.000","Info","2019-07-02 02:14:45","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7524 a7304 a7331 a7103"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.616","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.617","","","","","","ZONE_DISTANCES",19221,18396,16671,26630,12346,19570,12000,22831
"000:35:30.617","","","","","","ZONE_TIMERS",155.392,144.668,125.932,174.128,113.369,186.691,90.568,209.493
"000:35:30.618","","","","","","ZONE_COUNTERS",65,66,53,54,45,45,42,43
"000:35:30.618","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.618","","","","","","TOTAL_ARENA_DISTANCES",37617,43301,31917,34831
"000:40:30.670","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.670","","","","","","ZONE_DISTANCES",14708,22774,15567,29576,14379,16696,15967,21084
"000:40:30.671","","","","","","ZONE_TIMERS",121.138,178.915,91.494,208.559,121.021,179.031,117.835,182.218
"000:40:30.671","","","","","","ZONE_COUNTERS",47,47,48,49,35,34,40,40
"000:40:30.672","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.672","","","","","","TOTAL_ARENA_DISTANCES",37482,45142,31074,37051
"000:45:30.759","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.761","","","","","","ZONE_DISTANCES",8004,22537,16551,25290,14234,15071,14405,24896
"000:45:30.762","","","","","","ZONE_TIMERS",73.762,226.325,113.679,186.408,172.527,127.560,117.778,182.309
"000:45:30.764","","","","","","ZONE_COUNTERS",36,36,46,47,35,35,58,58
"000:45:30.765","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.767","","","","","","TOTAL_ARENA_DISTANCES",30541,41841,29305,39302
"000:50:30.825","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.825","","","","","","ZONE_DISTANCES",23071,4836,17096,23493,11555,16462,19545,19348
"000:50:30.826","","","","","","ZONE_TIMERS",251.546,48.520,122.853,177.213,90.429,209.637,134.045,166.021
"000:50:30.826","","","","","","ZONE_COUNTERS",35,35,37,37,27,28,51,52
"000:50:30.827","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.827","","","","","","TOTAL_ARENA_DISTANCES",27907,40589,28017,38893
"000:55:30.900","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.900","","","","","","ZONE_DISTANCES",10471,14426,3799,2428,14633,14137,8111,20684
"000:55:30.901","","","","","","ZONE_TIMERS",162.161,137.913,293.334,6.740,175.058,125.016,68.548,231.526
"000:55:30.901","","","","","","ZONE_COUNTERS",12,12,8,7,31,32,27,27
"000:55:30.902","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.902","","","","","","TOTAL_ARENA_DISTANCES",24897,6227,28770,28795
"001:00:30.958","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:30.958","","","","","","ZONE_DISTANCES",24255,684,21790,5587,14135,13789,22199,16837
"001:00:30.958","","","","","","ZONE_TIMERS",292.664,7.393,262.980,37.076,134.830,165.226,159.738,140.318
"001:00:30.959","","","","","","ZONE_COUNTERS",9,9,18,17,30,31,56,55
"001:00:30.959","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:30.959","","","","","","TOTAL_ARENA_DISTANCES",24939,27377,27925,39035
"001:00:31.054","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.054","","","","","","ZONE_DISTANCES",99730,83653,91474,113004,81282,95725,92227,125680
"001:00:31.055","","","","","","ZONE_TIMERS",1056.671,743.736,1010.280,790.127,807.238,993.169,688.520,1111.887
"001:00:31.055","","","","","","ZONE_COUNTERS",202,202,208,208,201,202,272,272
"001:00:31.056","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.056","","","","","","TOTAL_ARENA_DISTANCES",183383,204478,177008,217907
"001:03:02.946","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.947","","","","","","ZONE_DISTANCES",0,4651,3471,6636,1064,4201,239,5093
"001:03:02.947","","","","","","ZONE_TIMERS",0.000,60.070,20.144,39.926,9.254,50.816,2.033,58.037
"001:03:02.947","","","","","","ZONE_COUNTERS",0,1,15,16,6,7,3,3
"001:03:02.948","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.948","","","","","","TOTAL_ARENA_DISTANCES",4652,10108,5265,5332
"001:04:03.001","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.001","","","","","","ZONE_DISTANCES",4340,309,5807,1791,2792,2583,4389,659
"001:04:03.002","","","","","","ZONE_TIMERS",55.214,4.840,45.721,14.333,29.702,30.352,50.989,9.065
"001:04:03.002","","","","","","ZONE_COUNTERS",1,1,11,11,7,8,7,7
"001:04:03.003","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.003","","","","","","TOTAL_ARENA_DISTANCES",4649,7598,5375,5048
"001:05:03.072","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.073","","","","","","ZONE_DISTANCES",263,4613,2968,6045,2172,3102,337,5222
"001:05:03.073","","","","","","ZONE_TIMERS",1.791,58.279,19.458,40.612,24.709,35.361,3.063,57.007
"001:05:03.073","","","","","","ZONE_COUNTERS",1,1,13,12,8,8,2,2
"001:05:03.074","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.074","","","","","","TOTAL_ARENA_DISTANCES",4875,9013,5274,5559
"001:06:03.130","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.131","","","","","","ZONE_DISTANCES",4799,244,2417,5680,2124,2666,4958,312
"001:06:03.131","","","","","","ZONE_TIMERS",57.174,2.883,16.511,43.546,23.177,36.880,56.869,3.188
"001:06:03.132","","","","","","ZONE_COUNTERS",1,1,8,8,6,6,2,2
"001:06:03.132","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.132","","","","","","TOTAL_ARENA_DISTANCES",5044,8098,4791,5270
"001:07:03.216","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.216","","","","","","ZONE_DISTANCES",285,4014,2761,5519,2342,2757,222,5122
"001:07:03.217","","","","","","ZONE_TIMERS",3.385,56.700,19.416,40.668,34.770,25.314,2.216,57.869
"001:07:03.217","","","","","","ZONE_COUNTERS",2,2,8,8,6,7,3,3
"001:07:03.218","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.218","","","","","","TOTAL_ARENA_DISTANCES",4299,8280,5098,5344
"001:07:03.318","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.319","","","","","","ZONE_DISTANCES",9687,13831,17424,25671,10494,15309,10145,16408
"001:07:03.319","","","","","","ZONE_TIMERS",117.566,182.774,121.252,179.088,121.614,178.725,115.172,185.168
"001:07:03.320","","","","","","ZONE_COUNTERS",3,4,53,53,32,33,15,15
"001:07:03.320","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.320","","","","","","TOTAL_ARENA_DISTANCES",23518,43096,25803,26553
"001:07:03.321","Info","2019-07-02 03:21:49","Service 'BLUGRE' : Execution end"
