"000:00:00.000","Info","2019-07-03 00:08:06","Service 'GRYCHK' : Execution start"
"000:00:00.000","Info","Subject Identification","a7447 a7012 a7097 a7584"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.834","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:35:30.834","","","","","","ZONE_DISTANCES",21034,18480,17190,18939,19342,24088,18201,21651
"000:35:30.835","","","","","","ZONE_TIMERS",163.732,136.339,143.224,156.847,132.826,167.245,137.852,162.219
"000:35:30.835","","","","","","ZONE_COUNTERS",49,48,45,46,56,55,48,49
"000:35:30.836","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.836","","","","","","TOTAL_ARENA_DISTANCES",39513,36128,43430,39852
"000:40:30.984","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:40:30.985","","","","","","ZONE_DISTANCES",20112,15945,13311,17792,12701,19481,18204,20186
"000:40:30.986","","","","","","ZONE_TIMERS",164.052,136.096,115.038,185.111,107.193,192.956,133.939,166.210
"000:40:30.987","","","","","","ZONE_COUNTERS",53,53,31,32,37,36,49,50
"000:40:30.988","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.989","","","","","","TOTAL_ARENA_DISTANCES",36058,31103,32182,38390
"000:45:31.162","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:45:31.162","","","","","","ZONE_DISTANCES",16809,18081,16239,17902,14456,19264,19307,19186
"000:45:31.163","","","","","","ZONE_TIMERS",142.960,157.217,160.751,139.426,122.080,178.098,147.664,152.513
"000:45:31.164","","","","","","ZONE_COUNTERS",50,51,41,41,34,34,47,48
"000:45:31.164","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:31.164","","","","","","TOTAL_ARENA_DISTANCES",34890,34142,33720,38493
"000:50:31.336","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"000:50:31.337","","","","","","ZONE_DISTANCES",19030,15432,17154,16112,15064,22791,19577,19327
"000:50:31.337","","","","","","ZONE_TIMERS",161.897,138.276,150.367,149.806,104.606,195.567,140.849,159.324
"000:50:31.338","","","","","","ZONE_COUNTERS",52,53,44,44,43,44,46,47
"000:50:31.338","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:31.339","","","","","","TOTAL_ARENA_DISTANCES",34462,33266,37855,38904
"000:55:31.487","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"000:55:31.487","","","","","","ZONE_DISTANCES",16516,16911,14604,14578,20948,20044,18879,21151
"000:55:31.488","","","","","","ZONE_TIMERS",147.247,152.902,167.224,132.925,164.061,136.088,142.968,157.182
"000:55:31.488","","","","","","ZONE_COUNTERS",56,56,37,37,54,55,51,52
"000:55:31.489","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:31.489","","","","","","TOTAL_ARENA_DISTANCES",33427,29182,40991,40030
"001:00:31.654","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:00:31.654","","","","","","ZONE_DISTANCES",19792,12683,16302,15500,15361,19604,17546,18730
"001:00:31.655","","","","","","ZONE_TIMERS",174.121,126.046,151.107,149.059,116.454,183.713,133.730,166.437
"001:00:31.655","","","","","","ZONE_COUNTERS",55,55,41,40,45,46,46,47
"001:00:31.656","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.656","","","","","","TOTAL_ARENA_DISTANCES",32475,31802,34965,36277
"001:00:31.728","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.729","","","","","","ZONE_DISTANCES",113293,97532,94800,100823,97872,125272,111714,120231
"001:00:31.730","","","","","","ZONE_TIMERS",954.012,846.885,887.720,913.177,747.222,1053.675,837.003,963.894
"001:00:31.730","","","","","","ZONE_COUNTERS",313,313,237,237,267,267,287,288
"001:00:31.731","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.731","","","","","","TOTAL_ARENA_DISTANCES",210825,195622,223144,231945
"001:03:04.637","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:03:04.640","","","","","","ZONE_DISTANCES",3814,2495,2432,3224,448,5561,3085,4592
"001:03:04.642","","","","","","ZONE_TIMERS",38.331,21.743,34.107,25.967,3.585,56.489,23.460,36.614
"001:03:04.645","","","","","","ZONE_COUNTERS",14,13,10,9,2,3,10,11
"001:03:04.647","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:04.649","","","","","","TOTAL_ARENA_DISTANCES",6309,5656,6008,7677
"001:04:04.827","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:04:04.828","","","","","","ZONE_DISTANCES",4941,1303,3789,1878,2298,4074,4327,3413
"001:04:04.829","","","","","","ZONE_TIMERS",47.299,12.891,39.082,21.109,21.315,38.875,32.374,27.816
"001:04:04.829","","","","","","ZONE_COUNTERS",14,13,11,10,8,9,10,11
"001:04:04.830","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:04.830","","","","","","TOTAL_ARENA_DISTANCES",6244,5667,6372,7740
"001:05:04.979","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:05:04.980","","","","","","ZONE_DISTANCES",3538,2509,2334,2756,2682,4821,3535,3724
"001:05:04.981","","","","","","ZONE_TIMERS",36.666,23.485,29.029,31.122,20.834,39.317,27.866,32.285
"001:05:04.981","","","","","","ZONE_COUNTERS",12,11,9,9,8,9,9,10
"001:05:04.982","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:04.982","","","","","","TOTAL_ARENA_DISTANCES",6047,5090,7503,7259
"001:06:05.177","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_CHKNON","ARENA1_ZONE2_GRYCS","ARENA2_ZONE1_CHKNON","ARENA2_ZONE2_GRYCS","ARENA3_ZONE1_CHKNON","ARENA3_ZONE2_GRYCS","ARENA4_ZONE1_CHKNON","ARENA4_ZONE2_GRYCS"
"001:06:05.181","","","","","","ZONE_DISTANCES",4390,1814,4400,1489,2764,3895,2226,3621
"001:06:05.183","","","","","","ZONE_TIMERS",42.637,17.559,46.426,13.771,23.326,36.870,20.102,40.094
"001:06:05.185","","","","","","ZONE_COUNTERS",13,13,9,9,9,9,6,6
"001:06:05.188","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:05.190","","","","","","TOTAL_ARENA_DISTANCES",6204,5889,6660,5847
"001:07:05.396","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_GRYCS","ARENA1_ZONE2_CHKNON","ARENA2_ZONE1_GRYCS","ARENA2_ZONE2_CHKNON","ARENA3_ZONE1_GRYCS","ARENA3_ZONE2_CHKNON","ARENA4_ZONE1_GRYCS","ARENA4_ZONE2_CHKNON"
"001:07:05.397","","","","","","ZONE_DISTANCES",3826,3265,2842,2857,974,4828,4047,2972
"001:07:05.397","","","","","","ZONE_TIMERS",35.168,25.050,32.636,27.583,5.969,54.249,36.205,24.013
"001:07:05.398","","","","","","ZONE_COUNTERS",13,13,10,9,3,3,7,7
"001:07:05.398","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.399","","","","","","TOTAL_ARENA_DISTANCES",7091,5699,5802,7019
"001:07:05.482","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:05.483","","","","","","ZONE_DISTANCES",20509,11386,15797,12204,9166,23179,17220,18322
"001:07:05.483","","","","","","ZONE_TIMERS",200.104,100.731,181.281,119.553,75.032,225.803,140.010,160.825
"001:07:05.484","","","","","","ZONE_COUNTERS",63,62,46,45,29,30,41,42
"001:07:05.485","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:05.486","","","","","","TOTAL_ARENA_DISTANCES",31895,28002,32345,35542
"001:07:05.486","Info","2019-07-03 01:15:11","Service 'GRYCHK' : Execution end"
