"000:00:00.000","Info","2019-10-03 04:33:44","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a7004 a7746 a6890 a7706"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.665","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.666","","","","","","ZONE_DISTANCES",18706,24821,19618,21928,10191,16725,3571,26268
"000:35:30.666","","","","","","ZONE_TIMERS",124.452,175.629,138.540,161.541,112.654,187.427,23.178,276.903
"000:35:30.667","","","","","","ZONE_COUNTERS",58,58,45,44,35,35,17,17
"000:35:30.667","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.667","","","","","","TOTAL_ARENA_DISTANCES",43527,41546,26915,29839
"000:40:30.751","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.751","","","","","","ZONE_DISTANCES",20567,23762,16637,20586,12169,13728,21924,17263
"000:40:30.752","","","","","","ZONE_TIMERS",132.899,167.186,115.837,184.248,130.626,169.459,184.903,115.182
"000:40:30.752","","","","","","ZONE_COUNTERS",58,58,40,40,33,33,38,38
"000:40:30.753","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.753","","","","","","TOTAL_ARENA_DISTANCES",44329,37222,25897,39187
"000:45:30.822","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.823","","","","","","ZONE_DISTANCES",21794,22202,17408,20970,8136,16163,4777,24324
"000:45:30.823","","","","","","ZONE_TIMERS",151.626,148.444,137.073,162.997,94.978,205.092,29.170,270.901
"000:45:30.824","","","","","","ZONE_COUNTERS",60,60,40,40,39,40,14,14
"000:45:30.824","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.824","","","","","","TOTAL_ARENA_DISTANCES",43996,38379,24299,29102
"000:50:30.888","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.889","","","","","","ZONE_DISTANCES",19434,21413,15047,22563,13507,15170,23735,8230
"000:50:30.889","","","","","","ZONE_TIMERS",131.200,168.865,107.225,192.840,135.227,164.838,239.412,60.653
"000:50:30.890","","","","","","ZONE_COUNTERS",57,58,39,38,39,39,22,22
"000:50:30.890","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.890","","","","","","TOTAL_ARENA_DISTANCES",40848,37610,28677,31965
"000:55:30.960","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.960","","","","","","ZONE_DISTANCES",16658,23009,19945,21806,12381,14891,1084,21163
"000:55:30.961","","","","","","ZONE_TIMERS",119.420,180.651,141.908,158.162,137.347,162.724,7.643,292.428
"000:55:30.961","","","","","","ZONE_COUNTERS",57,58,48,47,49,49,6,6
"000:55:30.962","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.962","","","","","","TOTAL_ARENA_DISTANCES",39666,41750,27272,22247
"001:00:31.012","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.012","","","","","","ZONE_DISTANCES",17510,18952,18044,22175,15056,12926,23212,2119
"001:00:31.013","","","","","","ZONE_TIMERS",138.217,161.834,115.638,184.412,159.380,140.671,283.898,16.153
"001:00:31.013","","","","","","ZONE_COUNTERS",54,55,45,45,48,48,6,6
"001:00:31.013","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.014","","","","","","TOTAL_ARENA_DISTANCES",36462,40219,27983,25331
"001:00:31.110","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.110","","","","","","ZONE_DISTANCES",114669,134159,106699,130028,71440,89603,78303,99367
"001:00:31.111","","","","","","ZONE_TIMERS",797.815,1002.617,756.225,1044.208,770.220,1030.213,768.211,1032.222
"001:00:31.113","","","","","","ZONE_COUNTERS",343,343,253,253,241,241,101,100
"001:00:31.113","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.114","","","","","","TOTAL_ARENA_DISTANCES",248828,236727,161043,177670
"001:03:03.037","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.038","","","","","","ZONE_DISTANCES",1210,5681,3735,3700,341,4282,81,3997
"001:03:03.038","","","","","","ZONE_TIMERS",9.366,50.706,29.362,30.709,3.537,56.534,0.606,59.466
"001:03:03.039","","","","","","ZONE_COUNTERS",9,10,8,8,2,3,1,1
"001:03:03.039","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.039","","","","","","TOTAL_ARENA_DISTANCES",6891,7435,4623,4078
"001:04:03.093","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.093","","","","","","ZONE_DISTANCES",4370,2424,3286,4069,4004,1303,3890,239
"001:04:03.094","","","","","","ZONE_TIMERS",40.098,19.957,22.886,37.169,47.267,12.788,57.287,2.768
"001:04:03.094","","","","","","ZONE_COUNTERS",11,12,10,9,7,7,1,1
"001:04:03.095","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.095","","","","","","TOTAL_ARENA_DISTANCES",6794,7354,5307,4129
"001:05:03.170","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.171","","","","","","ZONE_DISTANCES",1727,5412,3446,3663,585,4373,230,4941
"001:05:03.171","","","","","","ZONE_TIMERS",12.314,47.762,26.663,33.414,6.373,53.703,2.106,57.970
"001:05:03.172","","","","","","ZONE_COUNTERS",12,12,8,8,6,6,1,1
"001:05:03.172","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.172","","","","","","TOTAL_ARENA_DISTANCES",7140,7109,4958,5171
"001:06:03.265","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.266","","","","","","ZONE_DISTANCES",4901,1821,2997,3876,4046,1242,4885,262
"001:06:03.266","","","","","","ZONE_TIMERS",45.074,15.020,23.821,36.273,47.014,13.080,58.007,2.087
"001:06:03.267","","","","","","ZONE_COUNTERS",13,12,8,8,9,9,3,3
"001:06:03.267","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.267","","","","","","TOTAL_ARENA_DISTANCES",6722,6873,5288,5147
"001:07:03.357","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.357","","","","","","ZONE_DISTANCES",1619,5409,3285,3469,1598,3621,259,4901
"001:07:03.357","","","","","","ZONE_TIMERS",13.341,46.749,27.817,32.274,16.469,43.622,2.034,58.057
"001:07:03.358","","","","","","ZONE_COUNTERS",10,10,8,8,10,10,1,1
"001:07:03.358","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.359","","","","","","TOTAL_ARENA_DISTANCES",7027,6754,5219,5160
"001:07:03.459","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.460","","","","","","ZONE_DISTANCES",13827,20747,16749,18777,10574,14821,9345,14340
"001:07:03.460","","","","","","ZONE_TIMERS",120.195,180.196,130.550,169.841,120.662,179.729,120.041,180.350
"001:07:03.460","","","","","","ZONE_COUNTERS",53,54,39,40,32,33,5,5
"001:07:03.461","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.461","","","","","","TOTAL_ARENA_DISTANCES",34574,35526,25395,23686
"001:07:03.462","Info","2019-10-03 05:40:48","Service 'BLUGRE' : Execution end"
